cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,0,0,0.006904618,1,0.006904618,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,0.00676873,3,0,0,0.006768731,3,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,0.00375328,1,0,0,0.00375328,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,0,0,0.003565979,1,0.003565979,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,0,0,0.002985523,1,0.002985523,1,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,0,0,0.001996829,1,0.001996829,1,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,0,0,0.001821216,1,0.001821216,1,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,0.00076751,1,0.000911411,1,0.001678918,2,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,0,0,0.00147492,3,0.00147492,3,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,0,0,0.001409184,2,0.001409184,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,0,0,0.001377252,1,0.001377252,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0.00119814,1,0,0,0.001198142,1,,,,,,,,,,,,,,,,,,,,,,,,,
Palestinian Territory,PSE,0.00114431,1,0,0,0.001144315,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,0,0,0.000946511,1,0.000946511,1,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,0,0,0.000811164,1,0.000811164,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,0,0,0.000709794,1,0.000709794,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,0,0,0.000691701,1,0.000691701,1,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,0,0,0.000512358,2,0.000512358,2,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,PRK,0,0,0.000414505,1,0.000414505,1,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,0.00024208,1,0,0,0.000242082,1,,,,,,,,,,,,,,,,,,,,,,,,,
